"Package","Version"
"sparseMatrixStats","1.20.0"
"sparsevctrs","0.3.6"
"spatial","7.3-18"
"SpatialExperiment","1.18.1"
"spatstat.data","3.1-9"
"spatstat.explore","3.7-0"
"spatstat.geom","3.7-0"
"spatstat.random","3.4-4"
"spatstat.sparse","3.1-0"
"spatstat.univar","3.1-6"
"spatstat.utils","3.2-1"
"spData","2.3.4"
"spdep","1.4-1"
"speedglm","0.3-5"
"splancs","2.01-45"
"splines","4.5.0"
"SQUAREM","2021.1"
"statmod","1.5.1"
"statnet.common","4.13.0"
"stats","4.5.0"
"stats4","4.5.0"
"stringfish","0.18.0"
"stringi","1.8.7"
"stringr","1.6.0"
"SummarizedExperiment","1.38.1"
"survival","3.8-6"
"svglite","2.2.2"
"svMisc","1.4.3"
"sys","3.4.3"
"systemfonts","1.3.1"
"tailor","0.1.0"
"tcltk","4.5.0"
"tensor","1.5.1"
"testthat","3.3.2"
"textshaping","1.0.4"
"tibble","3.3.1"
"tidygraph","1.3.1"
"tidymodels","1.4.1"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"tidytree","0.4.7"
"tidyverse","2.0.0"
"timechange","0.4.0"
"timeDate","4052.112"
"tinytex","0.58"
"tools","4.5.0"
"TrajectoryUtils","1.16.1"
"treeio","1.32.0"
"tricycle","1.16.0"
"tseries","0.10-59"
"TTR","0.24.4"
"tune","2.0.1"
"tweenr","2.0.3"
"tximport","1.36.1"
"tzdb","0.5.0"
"UCell","2.12.0"
"UCSC.utils","1.4.0"
"units","1.0-0"
"UpSetR","1.4.0"
"urca","1.3-4"
"urlchecker","1.0.1"
"usethis","3.2.1"
"utf8","1.2.6"
"utils","4.5.0"
"uuid","1.2-2"
"uwot","0.2.4"
"V8","8.0.1"
"vctrs","0.7.1"
"vipor","0.4.7"
"viridis","0.6.5"
"viridisLite","0.4.2"
"vroom","1.7.0"
"waldo","0.6.2"
"warp","0.2.3"
"whisker","0.4.1"
"withr","3.0.2"
"wk","0.9.5"
"workflows","1.3.0"
"workflowsets","1.1.1"
"xfun","0.56"
"xgboost","3.1.3.1"
"XML","3.99-0.20"
"xml2","1.5.2"
"xopen","1.0.1"
"xtable","1.8-4"
"xts","0.14.1"
"XVector","0.48.0"
"yaml","2.3.12"
"yardstick","1.3.2"
"yulab.utils","0.2.4"
"zip","2.3.3"
"zoo","1.8-15"
